"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"64","120","Dr.  Girija  Vyas                                              ","15","7","Rajasthan                                                   ","Chittorgarh","23","27"
"65","121","Shri  Inderjit Singh  Rao                                              ","15","7","Haryana                                                     ","Gurgaon","23","28"
"66","123","Shri  Sanjay  Nirupam                                           ","15","7","Maharashtra                                                 ","Mumbai-North","23","25"
"67","124","Shri  Dip  Gogoi                                             ","15","7","Assam                                                       ","Kaliabor","23","21"
"68","126","Shri  Francisco  Sardinha                                          ","15","7","Goa                                                         ","South Goa","23","27"
"69","127","Shri  Magunta Srinivasulu  Reddy                                             ","15","7","Andhra Pradesh                                              ","Ongole","23","16"
"70","128","Shri  N.S.V.  Chitthan                                          ","15","7","Tamil Nadu                                                  ","Dindigul","23","25"
"71","129","Dr.  Arvind Kumar  Sharma                                            ","15","7","Haryana                                                     ","Karnal","23","17"
"72","130","Dr.  Sanjay  Singh                                             ","15","7","Uttar Pradesh                                               ","Sultanpur","23","18"
"73","131","Shri  Jayant  Chaudhary                                         ","15","7","Uttar Pradesh                                               ","Mathura","23","24"
"74","132","Shri  Bhaskarrao  Patil  Khatgaonkar  ","15","7","Maharashtra                                                 ","Nanded","23","24"
"75","133","Shri  Deepender Singh  Hooda                                             ","15","7","Haryana                                                     ","Rohtak","23","24"
"76","134","Shri  Bhakta Charan  Das                                               ","15","7","Orissa                                                      ","Kalahandi","23","27"
"77","135","Shri  Tarachand  Bhagora                                           ","15","7","Rajasthan                                                   ","Banswara","23","17"
"78","137","Rajkumari  Ratna  Singh                                             ","15","7","Uttar Pradesh                                               ","Pratapgarh","23","22"
"79","138","Smt.  Priya  Dutt                                              ","15","7","Maharashtra                                                 ","Mumbai-North-Central","23","22"
"80","139","Smt.  Santosh  Chowdhary                                         ","15","7","Punjab                                                      ","Hoshiarpur","23","24"
"81","140","Sardar  Sukhdev  Singh    Libra                                    ","15","7","Punjab                                                      ","Fategarh Sabhib","23","28"
"82","141","Shri  Gajendra Singh  Rajukhedi                                         ","15","7","Madhya Pradesh                                              ","Dhar","23","13"
"83","142","Shri  Sanjay Singh  Chauhan                                           ","15","7","Uttar Pradesh                                               ","Bijnor","23","28"
"84","143","Shri  Anjan Kumar  Yadav. M                                          ","15","7","Andhra Pradesh                                              ","Secunderabad","23","27"
"85","144","Shri  Gutha  Sukender Reddy                                    ","15","7","Andhra Pradesh                                              ","Nalgonda","23","24"
"86","145","Shri  G.V.  Harsha Kumar                                      ","15","7","Andhra Pradesh                                              ","Amalapuram","23","25"
"87","146","Shri  Aruna Kumar  Vundavalli                                        ","15","7","Andhra Pradesh                                              ","Rajahmundry","23","28"
"88","147","Shri  S.P.Y.  Reddy                                             ","15","7","Andhra Pradesh                                              ","Nandyal","23","3"
"89","148","Shri  Lalit  Mohan  Suklabaidya                                       ","15","7","Assam                                                       ","Karimganj","23","24"
"90","149","Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ","15","7","Gujarat                                                     ","Jamnagar","23","23"
"91","150","Shri    Lagadapati   Rajagopal                            ","15","7","Andhra Pradesh                                              ","Vijayawada","23","27"
"92","151","Smt.    Botcha Jhansi Lakshmi                             ","15","7","Andhra Pradesh                                              ","Vizianagaram","23","27"
"93","152","Smt.  Ingrid  Mcleod                                            ","15","7","Chhattisgarh                                                ","Nominated Anglo-Indian","23","28"
"94","153","Shri    Bapiraju  Kanumuru                                ","15","7","Andhra Pradesh                                              ","Narsapuram","23","27"
"95","154","Shri  Kishan V.  Patel                                             ","15","7","Gujarat                                                     ","Valsad","23","28"
"96","155","Shri  Eknath  Gaikwad                                           ","15","7","Maharashtra                                                 ","Mumbai-South-Central","23","28"
"97","156","Dr.  Thokchom  Meinya                                            ","15","7","Manipur                                                     ","Inner Manipur","23","28"
"98","157","Shri  M.  Krishnaswamy                                      ","15","7","Tamil Nadu                                                  ","Arani","23","24"
"99","158","Dr.  Nirmal  Khatri                                            ","15","7","Uttar Pradesh                                               ","Faizabad","23","28"
"100","160","Smt.  Shruti  Choudhry                                          ","15","7","Haryana                                                     ","Bhiwani-Mahendragarh","23","25"
"101","161","Dr.  Prabha Kishore  Taviad                                            ","15","7","Gujarat                                                     ","Dahod","23","27"
"102","162","Smt.  Rajesh Nandini  Singh                                             ","15","7","Madhya Pradesh                                              ","Shahdol","23","28"
"103","163","Ms.  Mausam  Noor                                              ","15","7","West Bengal                                                 ","Maldaha Uttar","23","22"
"104","164","Smt.  Sarika  D.S. Baghel                                       ","15","7","Uttar Pradesh                                               ","Hathras","23","27"
"105","165","Smt.  Annu  Tandon                                            ","15","7","Uttar Pradesh                                               ","Unnao","23","26"
"106","166","Smt.  Meenakshi  Natrajan                                          ","15","7","Madhya Pradesh                                              ","Mandsour","23","27"
"107","167","Dr.  Jyoti  Mirdha                                            ","15","7","Rajasthan                                                   ","Nagaur","23","27"
"108","168","Shri  Devendra  Nagpal                                            ","15","7","Uttar Pradesh                                               ","Amroha","23","17"
"109","169","Shri  Manicka  Tagore                                            ","15","7","Tamil Nadu                                                  ","Virudhunagar","23","26"
"110","170","Shri  Prabhakar  Ponnam                                            ","15","7","Andhra Pradesh                                              ","Karimnagar","23","28"
"111","171","Shri  Sajjan Singh  Verma                                             ","15","7","Madhya Pradesh                                              ","Dewas","23","26"
"112","172","Shri  Abdul Mannan  Hossain                                           ","15","7","West Bengal                                                 ","Murshidabad","23","21"
"113","173","Shri  S.  Alagiri                                           ","15","7","Tamil Nadu                                                  ","Cuddalore","23","18"
"114","174","Shri  Basori Singh  Masram                                            ","15","7","Madhya Pradesh                                              ","Mandla","23","24"
"115","175","Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ","15","7","Gujarat                                                     ","Rajkot","23","16"
"116","176","Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ","15","7","Gujarat                                                     ","Porbandar","23","7"
"117","177","Dr.  G.  Vivekanand                                        ","15","7","Andhra Pradesh                                              ","Peddapalle","23","22"
"118","178","Shri  Suresh Kumar  Shetkar                                           ","15","7","Andhra Pradesh                                              ","Zahirabad","23","28"
"119","179","Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ","15","7","Gujarat                                                     ","Banaskantha","23","22"
"120","180","Shri  Jagdish  Thakor                                            ","15","7","Gujarat                                                     ","Patan","23","14"
"121","181","Shri  Adagooru  Vishwanath                                        ","15","7","Karnataka                                                   ","Mysore","23","15"
"122","182","Shri  R.  Dhruvanarayana                                    ","15","7","Karnataka                                                   ","Chamrajanagar","23","26"
"123","183","Shri  K.  Sudhakaran                                        ","15","7","Kerala                                                      ","Kannur","23","17"
"124","185","Shri  M. K.  Raghavan                                          ","15","7","Kerala                                                      ","Kozhikode","23","23"
"125","186","Shri  K. P.  Dhanapalan                                        ","15","7","Kerala                                                      ","Chalakudy","23","28"
"126","187","Shri  Dara Singh  Chauhan                                           ","15","7","Uttar Pradesh                                               ","Ghosi","23","27"
"127","188","Shri    Lalu Prasad                                       ","15","7","Bihar                                                       ","Saran","23","19"
"128","189","Shri  Shibu  Soren                                             ","15","7","Jharkhand                                                   ","Dumka","23","8"
"129","190","Shri  T.K.S.  Elangovan                                         ","15","7","Tamil Nadu                                                  ","Chennai North","23","18"
"130","191","Shri  Sudip  Bandyopadhyay                                     ","15","7","West Bengal                                                 ","Kolkata Uttar","23","22"
"131","192","Smt.  Supriya  Sule                                              ","15","7","Maharashtra                                                 ","Baramati","23","27"
"132","193","Shri   Udayanraje  Bhonsle                                          ","15","7","Maharashtra                                                 ","Satara","23","20"
"133","194","Shri  Sameer  Bhujbal                                           ","15","7","Maharashtra                                                 ","Nashik","23","11"
"134","195","Shri  D.  Venugopal                                         ","15","7","Tamil Nadu                                                  ","Tiruvannamalai","23","5"
"135","196","Shri  Kalyan  Banerjee                                          ","15","7","West Bengal                                                 ","Sreerampur","23","20"
"136","197","Shri  A.K.S.  Vijayan                                           ","15","7","Tamil Nadu                                                  ","Nagapattinam","23","7"
"137","198","Shri  E.G.  Sugavanam                                         ","15","7","Tamil Nadu                                                  ","Krisnagiri","23","11"
"138","199","Shri    Adhi Sankar                                       ","15","7","Tamil Nadu                                                  ","Kallakurichi","23","13"
"139","200","Dr.  Sanjeev Ganesh  Naik                                              ","15","7","Maharashtra                                                 ","Thane","23","25"
"140","201","Shri  Asaduddin  Owaisi                                            ","15","7","Andhra Pradesh                                              ","Hyderabad","23","25"
"141","202","Shri  Sansuma Khunggur  Bwiswmuthiary                                     ","15","7","Assam                                                       ","Kokrajhar","23","18"
"142","203","Dr.  Raghuvansh Prasad  Singh                                             ","15","7","Bihar                                                       ","Vaishali","23","28"
"143","204","Shri  Hassan  Khan                                              ","15","7","Jammu and Kashmir                                           ","Ladakh","23","27"
"144","205","Shri  Sadashivrao Dadoba  Mandlik                                           ","15","7","Maharashtra                                                 ","Kolhapur","23","14"
"145","206","Shri  R.  Thamaraiselvan                                    ","15","7","Tamil Nadu                                                  ","Dharmapuri","23","21"
"146","207","Shri    Abdul Rahman                                      ","15","7","Tamil Nadu                                                  ","Vellore","23","10"
"147","208","Shri  Somendranath  Mitra                                             ","15","7","West Bengal                                                 ","Diamond Harbour","23","12"
"148","210","Shri  Badruddin  Ajmal                                             ","15","7","Assam                                                       ","Dhubri","23","8"
"149","211","Shri  Babu Lal  Marandi                                           ","15","7","Jharkhand                                                   ","Kodarma","23","5"
"150","212","Shri  Mirza Mehboob  Beg                                               ","15","7","Jammu and Kashmir                                           ","Anantnag","23","28"
"151","213","Shri  Jagdambika  Pal                                               ","15","7","Uttar Pradesh                                               ","Domariyaganj","23","28"
"152","214","Shri  N.Dharam  Singh                                             ","15","7","Karnataka                                                   ","Bidar","23","17"
"153","215","Shri  H.D.  Kumaraswamy                                       ","15","7","Karnataka                                                   ","Bangalore Rural","23","14"
"154","217","Dr.  Kakoli Ghosh  Dastidar                                          ","15","7","West Bengal                                                 ","Barasat","23","15"
"155","218","Shri  K. R. G.  Reddy                                             ","15","7","Andhra Pradesh                                              ","Bhongir","23","23"
"156","219","Shri  Rajaiah  Siricilla                                         ","15","7","Andhra Pradesh                                              ","Warangal","23","28"
"157","220","Shri  Jitendra  Singh Malik                                       ","15","7","Rajasthan                                                   ","Alwar","23","20"
"158","221","Shri  P.L.  Punia                                             ","15","7","Uttar Pradesh                                               ","Barabanki","23","27"
"159","222","Shri  Kamal  Kishor   Commando                                 ","15","7","Uttar Pradesh                                               ","Bahraich","23","28"
"160","223","Dr.  Vinay Kumar  Panday ""Vinnu""                                    ","15","7","Uttar Pradesh                                               ","Shrawasti","23","26"
"161","224","Shri  Harsh  Vardhan                                           ","15","7","Uttar Pradesh                                               ","Maharajganj","23","26"
"162","225","Shri  Praveen Singh  Aron                                              ","15","7","Uttar Pradesh                                               ","Bareilly","23","24"
"163","226","Shri  Pradeep  Tamta                                             ","15","7","Uttarakhand                                                 ","Almora","23","28"
"164","227","Shri  S. S.  Ramasubbu                                         ","15","7","Tamil Nadu                                                  ","Tirunelveli","23","28"
"165","228","Shri  Sharief Ud Din  Shariq                                            ","15","7","Jammu and Kashmir                                           ","Baramulla","23","25"
"166","229","Shri  Mahesh  Joshi                                             ","15","7","Rajasthan                                                   ","Jaipur","23","28"
"167","230","Shri  Ijyaraj  Singh                                             ","15","7","Rajasthan                                                   ","Kota","23","28"
"168","231","Shri  E. T. Muhammed  Basheer                                           ","15","7","Kerala                                                      ","Ponnani","23","10"
"169","232","Shri  Gopal  Singh  Shekhawat                                  ","15","7","Rajasthan                                                   ","Rajsamand","23","26"
"170","233","Shri  Raghuvir Singh  Meena                                             ","15","7","Rajasthan                                                   ","Udaipur","23","27"
"171","234","Shri  Harish  Choudhary                                         ","15","7","Rajasthan                                                   ","Barmer","23","27"
"172","235","Shri  Badri Ram  Jakhar                                            ","15","7","Rajasthan                                                   ","Pali","23","26"
"173","236","Shri  Khiladi Lal  Bairwa                                            ","15","7","Rajasthan                                                   ","Karauli-Dholpur","23","28"
"174","237","Shri  Ratan  Singh                                             ","15","7","Rajasthan                                                   ","Bharatpur","23","28"
"175","238","Shri  Raja Ram  Pal                                               ","15","7","Uttar Pradesh                                               ","Akbarpur","23","24"
"176","239","Shri  Bharat Ram  Meghwal                                           ","15","7","Rajasthan                                                   ","Ganganagar","23","24"
"177","240","Shri  Zafar Ali  Naqvi                                             ","15","7","Uttar Pradesh                                               ","Kheri","23","28"
"178","242","Shri  Charles  Dias                                              ","15","7","Kerala                                                      ","Nominated Anglo-Indian","23","28"
"179","243","Shri  Mohinder Singh  Kaypee                                            ","15","7","Punjab                                                      ","Jalandhar","23","27"
"180","244","Shri  Partap Singh  Bajwa                                             ","15","7","Punjab                                                      ","Gurdaspur","23","26"
"181","245","Adv.  P. T.  Thomas                                            ","15","7","Kerala                                                      ","Idukki","23","28"
"182","246","Shri  M. I.  Shanavas                                          ","15","7","Kerala                                                      ","Wayanad","23","10"
"183","247","Shri  Anto  Antony                                            ","15","7","Kerala                                                      ","Pathanamthitta","23","25"
"184","248","Shri  N.  Peethambarakurup                                  ","15","7","Kerala                                                      ","Kollam","23","24"
"185","249","Shri  Om Prakash  Yadav                                             ","15","7","Bihar                                                       ","Siwan","23","22"
"186","250","Shri    Sivakumar @  Ritheesh                             ","15","7","Tamil Nadu                                                  ","Ramanthapuram","23","4"
"187","251","Shri  Sanjay Dina  Patil                                             ","15","7","Maharashtra                                                 ","Mumbai-North-East","23","23"
"188","252","Shri  Narayan Singh  Amlabe                                            ","15","7","Madhya Pradesh                                              ","Rajgarh","23","28"
"189","253","Shri  Jose K.  Mani                                              ","15","7","Kerala                                                      ","Kottayam","23","17"
"190","255","Shri  N. Cheluvaraya Swamy  ","15","7","Karnataka                                                   ","Mandya","23","24"
"191","257","Shri  Prem Das  Rai                                               ","15","7","Sikkim                                                      ","Sikkim","23","24"
"192","258","Shri  C. M.  Chang                                             ","15","7","Nagaland                                                    ","Nagaland","23","24"
"193","259","Shri   Baliram  Jadhav                                          ","15","7","Maharashtra                                                 ","Palghar","23","28"
"194","260","Shri  Jagada Nand  Singh                                             ","15","7","Bihar                                                       ","Buxar","23","26"
"195","261","Shri  Uma Shanaker  Singh                                             ","15","7","Bihar                                                       ","Maharajganj","23","27"
"196","262","Smt.  J. Helen Davidson  ","15","7","Tamil Nadu                                                  ","Kanniyakumari","23","21"
"197","263","Shri  S. R.  Jeyadurai                                         ","15","7","Tamil Nadu                                                  ","Thoothukkudi","23","11"
"198","264","Shri  Uday Pratap  Singh                                             ","15","7","Madhya Pradesh                                              ","Hoshangabad","23","26"
"199","265","Shri  Premchand  Guddu                                             ","15","7","Madhya Pradesh                                              ","Ujjain","23","23"
"200","266","Shri  Marotrao  Sainuji   Kowase                                  ","15","7","Maharashtra                                                 ","Gadchiroli-Chimur","23","28"
"201","267","Shri   Suresh  Kashinath   Taware                                ","15","7","Maharashtra                                                 ","Bhiwandi","23","27"
"202","268","Shri  Jaywant  Gangaram   Awale                                  ","15","7","Maharashtra                                                 ","Latur","23","26"
"203","269","Dr.  Nilesh N.  Rane                                              ","15","7","Maharashtra                                                 ","Ratnagiri-Sindhudurg","23","18"
"204","270","Shri  Thangso  Baite                                             ","15","7","Manipur                                                     ","Outer Manipur","23","28"
"205","271","Shri  Pradeep  Majhi                                             ","15","7","Orissa                                                      ","Nabarangpur","23","23"
"206","272","Shri  Amarnath  Pradhan                                           ","15","7","Orissa                                                      ","Sambalpur","23","12"
"207","273","Shri  Hemanand  Biswal                                            ","15","7","Orissa                                                      ","Sundargarh","23","25"
"208","274","Shri  Sanjay  Bhoi                                              ","15","7","Orissa                                                      ","Bargarh","23","15"
"209","275","Shri  C. L.  Ruala                                             ","15","7","Mizoram                                                     ","Mizoram","23","26"
"210","276","Shri  Mulayam Singh  Yadav                                             ","15","7","Uttar Pradesh                                               ","Mainpuri","23","26"
"211","277","Shri  H.D.  Devegowda                                         ","15","7","Karnataka                                                   ","Hassan","23","28"
"212","278","Kunwar  Rewati Raman  Singh                                             ","15","7","Uttar Pradesh                                               ","Allahabad","23","21"
"213","279","Dr.    Bali Ram                                          ","15","7","Uttar Pradesh                                               ","Lalganj","23","27"
"214","280","Shri  Gurudas  Das Gupta                                         ","15","7","West Bengal                                                 ","Ghatal","23","26"
"215","283","Shri  Shailendra  Kumar                                             ","15","7","Uttar Pradesh                                               ","Kaushambi ","23","24"
"216","284","Shri  Bhisma  Shankar Alias Kushal Tiwari                       ","15","7","Uttar Pradesh                                               ","Sant Kabir Nagar","23","25"
"217","285","Dr.  M.  Thambidurai                                       ","15","7","Tamil Nadu                                                  ","Karur","23","16"
"218","286","Shri  Akhilesh  Yadav                                             ","15","7","Uttar Pradesh                                               ","Kannauj","23","20"
"219","287","Shri  Ashok Kumar  Rawat                                             ","15","7","Uttar Pradesh                                               ","Misrikh","23","23"
"220","288","Dr.  Shafiqur Rahman  Barq                                              ","15","7","Uttar Pradesh                                               ","Sambhal","23","27"
"221","289","Shri  Baju Ban  Riyan                                             ","15","7","Tripura                                                     ","Tripura East","23","27"
"222","290","Shri  S.  Semmalai                                          ","15","7","Tamil Nadu                                                  ","Salem","23","17"
"223","292","Shri  Brij Bhushan Sharan  Singh                                             ","15","7","Uttar Pradesh                                               ","Kaiserganj","23","25"
"224","293","Shri  Tufani  Saroj                                             ","15","7","Uttar Pradesh                                               ","Machhlishahr","23","22"
"225","294","Shri  Jagdish Singh  Rana                                              ","15","7","Uttar Pradesh                                               ","Saharanpur","23","23"
"226","295","Shri  Vijay Bahadur  Singh                                             ","15","7","Uttar Pradesh                                               ","Hamirpur","23","27"
"227","296","Dr.  Ram Chandra  Dome                                              ","15","7","West Bengal                                                 ","Bolpur","23","22"
"228","297","Shri  Khagen  Das                                               ","15","7","Tripura                                                     ","Tripura West","23","27"
"229","298","Shri  O. S.  Manian                                            ","15","7","Tamil Nadu                                                  ","Mayiladuthurai","23","1"
"230","299","Shri  R.K. Singh  Patel                                             ","15","7","Uttar Pradesh                                               ","Banda","23","24"
"231","300","Smt.  Sushila  Saroj                                             ","15","7","Uttar Pradesh                                               ","Mohanlalganj","23","19"
"232","301","Smt.  Seema  Upadhyay                                          ","15","7","Uttar Pradesh                                               ","Fatehpur Sikri","23","23"
"233","302","  Smt. Tabassum  Hasan  ","15","7","Uttar Pradesh                                               ","Kairana","23","22"
"234","303","Shri  Prabodh  Panda                                             ","15","7","West Bengal                                                 ","Medinipur","23","23"
"235","304","Shri  Bansagopal  Chowdhury                                         ","15","7","West Bengal                                                 ","Asansol","23","14"
"236","305","Shri  P.  Venugopal                                         ","15","7","Tamil Nadu                                                  ","Tiruvallur","23","23"
"237","306","Shri    Bhajan Lal                                        ","15","7","Haryana                                                     ","Hisar","23","17"
"238","306","Shri  C.  Rajendran                                         ","15","7","Tamil Nadu                                                  ","Chennai South","23","5"
"239","309","Shri  S.K. Nurul  Islam                                             ","15","7","West Bengal                                                 ","Basirhat","23","13"
"240","310","Shri    Ramkishun                                         ","15","7","Uttar Pradesh                                               ","Chandauli","23","21"
"241","311","Shri  Rakesh  Sachan                                            ","15","7","Uttar Pradesh                                               ","Fatehpur","23","26"
"242","312","Smt.  Raj Kumari  Chauhan                                           ","15","7","Uttar Pradesh                                               ","Aligarh","23","22"
"243","313","Smt.  Kaisar  Jahan                                             ","15","7","Uttar Pradesh                                               ","Sitapur","23","24"
"244","314","Shri  P.R.  Natarajan                                         ","15","7","Tamil Nadu                                                  ","Coimbatore","23","27"
"245","315","Adv.  A.  Sampath                                           ","15","7","Kerala                                                      ","Attingal","23","20"
"246","316","Shri  Manohar  Tirkey                                            ","15","7","West Bengal                                                 ","Alipurduars","23","12"
"247","317","Shri  M.  Anandan                                           ","15","7","Tamil Nadu                                                  ","Viluppuram","23","20"
"248","318","Shri  Dinesh  Trivedi                                           ","15","7","West Bengal                                                 ","Barrackpur","23","20"
"249","319","Shri  Gobinda Chandra  Naskar                                            ","15","7","West Bengal                                                 ","Bangaon","23","27"
"250","320","Shri  Premdas  Katheria                                          ","15","7","Uttar Pradesh                                               ","Etawah","23","25"
"251","321","Shri  Dharmendra  Yadav                                             ","15","7","Uttar Pradesh                                               ","Badaun","23","23"
"252","322","Shri  Neeraj  Shekhar                                           ","15","7","Uttar Pradesh                                               ","Ballia","23","25"
"253","323","Shri    Gorakhnath  Pandey                                ","15","7","Uttar Pradesh                                               ","Bhadohi ","23","23"
"254","324","Shri  Dhananjay  Singh                                             ","15","7","Uttar Pradesh                                               ","Jaunpur","23","19"
"255","325","Smt.  Susmita  Bauri                                             ","15","7","West Bengal                                                 ","Bishnupur","23","28"
"256","326","Dr.  Anup Kumar  Saha                                              ","15","7","West Bengal                                                 ","Bardhaman Purba","23","27"
"257","327","Shri  Pulin Bihari  Baske                                             ","15","7","West Bengal                                                 ","Jhargram","23","26"
"258","328","Shri  K.  Sugumar                                           ","15","7","Tamil Nadu                                                  ","Pollachi","23","19"
"259","329","Shri  Ambica  Banerjee                                          ","15","7","West Bengal                                                 ","Howrah","23","27"
